acteurs,budget,compositeur,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,scoring_acteurs,scoring_acteurs_realisateurs,season,coeff_studio,year
"Vincent Cassel, Marion Cotillard, Romain Duris",25000000,Alexandre Desplat,118,1250000,,Thriller,France,Alain Goldman,Olivier Nakache,,650,StudioCanal,L'Énigme de Montmartre,0.6896551724137931,0.7586206896551724,Automne,2,2024
"Ryan Gosling, Emma Stone, Bradley Cooper",85000000,Justin Hurwitz,142,980000,Franchise,Comédie,Etats-Unis,Marc Platt,Damien Chazelle,,720,Lionsgate,Les Étoiles de Broadway,0.7241379310344828,0.8275862068965517,Printemps,3,2024
"Omar Sy, Audrey Tautou, François Cluzet",18000000,,103,875000,,Comédie,France,,Éric Toledano,,580,Pathé,Le Mystère du Château,0.4827586206896552,0.4827586206896552,Hiver,2,2024
"Chris Hemsworth, Natalie Portman, Tom Hiddleston",180000000,Tyler Bates,135,1450000,Franchise,Fantasy,Etats-Unis,Kevin Feige,Taika Waititi,,850,Walt Disney Pictures,Les Gardiens d'Asgard,0.5517241379310345,0.6206896551724138,Été,3,2024
"Jean Dujardin, Virginie Efira, Gilles Lellouche",12000000,,95,670000,,Comédie,France,,Guillaume Canet,,450,Mars Distribution,Retour aux Sources,0.6551724137931034,0.6551724137931034,Printemps,2,2024
"Margot Robbie, Leonardo DiCaprio, Will Smith",120000000,Hans Zimmer,128,1100000,,Science Fiction,Etats-Unis,Christopher Nolan,Christopher Nolan,,780,Warner Bros.,Quantum Paradox,0.7931034482758621,1.0344827586206895,Hiver,3,2024
"Kev Adams, Alexandra Lamy, Franck Dubosc",8000000,,88,520000,,Comédie,France,,Philippe de Chauveron,,380,TF1 Films,Vacances en Folie,0.3103448275862069,0.3103448275862069,Été,1,2024
"Zendaya, Timothée Chalamet, Oscar Isaac",200000000,Hans Zimmer,155,1300000,Franchise,Science Fiction,Etats-Unis,Denis Villeneuve,Denis Villeneuve,,900,Warner Bros.,Dune: Les Prophéties,0.4482758620689655,0.6896551724137931,Automne,3,2024
"Mélanie Laurent, Gaspard Ulliel, Adèle Exarchopoulos",15000000,Ibrahim Maalouf,112,780000,,Drame,France,,Cédric Klapisch,,520,Gaumont,Paris Sous la Pluie,0.5172413793103448,0.5172413793103448,Automne,2,2024
"Tom Holland, Zendaya, Jake Gyllenhaal",250000000,Michael Giacchino,140,1580000,Franchise,Comicbook,Etats-Unis,Kevin Feige,Jon Watts,,950,Sony Pictures,Spider-Man: Dimensions Infinies,0.6206896551724138,0.6896551724137931,Printemps,3,2024 
